Scan Address:,100,,,digital = no pin,analog=pin out,grouped = make array out of it,,,,,,
Prefix:,,,,,,,,,,,,
Channels,4,,,,,,,,,,,
Chain Size,608,,,,,,,,,,,
Chain Direction,in,,,in = to chip,out = from chip,,,,Decimal,,,
,Don't change me:,Don't change me:,,,Don't change me:,Don't change me:,,,Nominal,,,
,Register Name,Width,Bits,Wires,Signal Type,Bus-inator,Bus Width,Bus Addr,Value:,Description:,,Scan Order: <- MSB of First Register : LSB of Last Bit ->
First,,,,,,,,,,,,
313,VB_GC3_3,3,3,,,,,,4,Partial gain control for BB Amp Stg3,,
308,VB_GC2_3,5,5,,,,,,4,Gain control for BB Amp Stg2,,
303,VB_GC1_3,5,5,,,,,,4,Gain control for BB Amp Stg1,,
299,IB_RFAMP_I_3,4,4,,,,,,4,Bias current for I RF amp,,
295,IB_RFAMP_Q_3,4,4,,,,,,4,Bias current for Q RF amp,,
289,VB_MIXER_Q_3,6,6,,,,,,4,Voltage for Q mixer LO port,,
283,VB_FC_Q_3,6,6,,,,,,4,Voltge for Q BW control,,
282,VB_GC3_MSB1_3,1,1,,,,,,0,Next MSB of gain control for BB Amp Stg3,,
277,VB_GC4_Q_3,5,5,,,,,,4,Voltage for Q BB gain control,,
271,IB_BBAMP_3,6,6,,,,,,4,Bias current for BB Amp,,
167,IB_RFAMP1_3,4,4,,,,,,4,Bias current for first RF amp,,
163,IB_RFAMP2_3,4,4,,,,,,4,Bias current for second RF amp,,
262,VB_GC3_MSB0_3,1,1,,,,,,0,MSB of gain control for BB Amp Stg3,,
257,VB_GC4_I_3,5,5,,,,,,4,Voltage for I BB gain control,,
251,VB_FC_I_3,6,6,,,,,,4,Voltge for I BW control,,
245,VB_MIXER_I_3,6,6,,,,,,4,Voltage for I mixer LO port,,
241,IB_CS_3,4,4,,,,,,4,Bias current for active balun common source,,
237,IB_CG_3,4,4,,,,,,4,Bias current for active balun common gate,,
234,VB_GC3_2,3,3,,,,,,4,,,
229,VB_GC2_2,5,5,,,,,,4,,,
224,VB_GC1_2,5,5,,,,,,4,,,
220,IB_RFAMP_I_2,4,4,,,,,,4,,,
216,IB_RFAMP_Q_2,4,4,,,,,,4,,,
210,VB_MIXER_Q_2,6,6,,,,,,4,,,
204,VB_FC_Q_2,6,6,,,,,,4,,,
203,VB_GC3_MSB1_2,1,1,,,,,,0,,,
198,VB_GC4_Q_2,5,5,,,,,,4,,,
192,IB_BBAMP_2,6,6,,,,,,4,,,
188,IB_RFAMP1_2,4,4,,,,,,4,,,
184,IB_RFAMP2_2,4,4,,,,,,4,,,
183,VB_GC3_MSB0_2,1,1,,,,,,0,,,
178,VB_GC4_I_2,5,5,,,,,,4,,,
172,VB_FC_I_2,6,6,,,,,,4,,,
166,VB_MIXER_I_2,6,6,,,,,,4,,,
162,IB_CS_2,4,4,,,,,,4,,,
158,IB_CG_2,4,4,,,,,,4,,,
155,VB_GC3_1,3,3,,,,,,4,,,
150,VB_GC2_1,5,5,,,,,,4,,,
145,VB_GC1_1,5,5,,,,,,4,,,
141,IB_RFAMP_I_1,4,4,,,,,,4,,,
137,IB_RFAMP_Q_1,4,4,,,,,,4,,,
131,VB_MIXER_Q_1,6,6,,,,,,4,,,
125,VB_FC_Q_1,6,6,,,,,,4,,,
124,VB_GC3_MSB1_1,1,1,,,,,,0,,,
119,VB_GC4_Q_1,5,5,,,,,,4,,,
113,IB_BBAMP_1,6,6,,,,,,4,,,
109,IB_RFAMP1_1,4,4,,,,,,4,,,
105,IB_RFAMP2_1,4,4,,,,,,4,,,
104,VB_GC3_MSB0_1,1,1,,,,,,0,,,
99,VB_GC4_I_1,5,5,,,,,,4,,,
93,VB_FC_I_1,6,6,,,,,,4,,,
87,VB_MIXER_I_1,6,6,,,,,,4,,,
83,IB_CS_1,4,4,,,,,,4,,,
79,IB_CG_1,4,4,,,,,,4,,,
76,VB_GC3_0,3,3,,,,,,4,,,
71,VB_GC2_0,5,5,,,,,,4,,,
66,VB_GC1_0,5,5,,,,,,4,,,
62,IB_RFAMP_I_0,4,4,,,,,,4,,,
58,IB_RFAMP_Q_0,4,4,,,,,,4,,,
52,VB_MIXER_Q_0,6,6,,,,,,4,,,
46,VB_FC_Q_0,6,6,,,,,,4,,,
45,VB_GC3_MSB1_0,1,1,,,,,,0,,,
40,VB_GC4_Q_0,5,5,,,,,,4,,,
34,IB_BBAMP_0,6,6,,,,,,4,,,
30,IB_RFAMP1_0,4,4,,,,,,4,,,
26,IB_RFAMP2_0,4,4,,,,,,4,,,
25,VB_GC3_MSB0_0,1,1,,,,,,0,,,
20,VB_GC4_I_0,5,5,,,,,,4,,,
14,VB_FC_I_0,6,6,,,,,,4,,,
8,VB_MIXER_I_0,6,6,,,,,,4,,,
4,IB_CS_0,4,4,,,,,,4,,,
0,IB_CG_0,4,4,,,,,,4,,,